"样本编号","评论内容","评论时间","IP属地","评论点赞数","评论回复数","作品标题","作品发布时间","作品点赞数","作品评论数","是否置顶","人工判断（留空待标注）","人工备注（留空待标注）"
"评论样本15","学费多少呀","2026-07-01 12:51:24","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本16","买房的话初中可以空降吗[捂脸]现在学籍五华区，下个学期5年级","2026-07-01 12:47:01","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本17","师大附中呈贡学校是师大附中体系","2026-06-30 21:22:57","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本18","老师有这所学校的招生办电话吗","2026-06-30 14:50:59","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本19","学校有食堂吗","2026-06-29 21:16:54","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本20","高中学费是多少","2026-06-29 15:02:48","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本21","就喜欢你这么直接[赞]","2026-06-29 08:54:08","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本22","昨天去了，今天去了，没人","2026-06-28 22:04:59","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本23","禄劝县的可以报高中吗？","2026-06-28 15:20:43","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本24","大华公园天下可以读吗","2026-06-27 23:22:11","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本25","郊县生可以报吗？","2026-06-27 22:04:30","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本26","289.5，平均分差不多96.5左右，都不算什么了","2026-06-27 21:03:04","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本27","[赞][赞][赞]","2026-06-27 18:43:07","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本28","大华业主的小孩真的太爽了[捂脸]","2026-06-27 18:32:16","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本29","同是师大集团旗下，李校之前是呈贡校区副校长","2026-06-27 18:21:31","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本30","等学校通知[比心]","2026-06-27 18:19:07","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本31","需要昆明市区学籍","2026-06-27 18:18:40","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本32","今年9月新开学校","2026-06-27 18:18:21","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本33","可以申请","2026-06-27 18:17:38","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本34","省内转小孩，省外需要监护人","2026-06-27 18:17:30","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本35","大华公园业主，只转孩子户口可以上吗？还是家长也要转","2026-06-27 17:45:15","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本36","没了 290以下没希望","2026-06-27 14:24:34","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本37","老师，能住校吗？","2026-06-27 10:29:34","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本38","大华业主优先就读，剩余名额自主招生卡295分以上","2026-06-27 09:05:50","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本39","老师初中在安宁，户口曲靖的，可不可以报","2026-06-27 09:04:30","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本40","什么时候创办的这所学校？","2026-06-26 23:21:55","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本41","郊县的可以补录吗","2026-06-26 23:18:04","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本42","今天投了简历，什么时候会通知","2026-06-26 18:00:23","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本43","高一地州可以读吗？","2026-06-26 15:57:27","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本44","简历投了才发现，优秀的孩子太多太多了。我们那个普通的简历简直看不得[捂脸]","2026-06-26 12:14:35","云南","1","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本45","可以的","2026-06-26 09:39:15","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本46","不是初中不能自主招生吗","2026-06-26 08:51:06","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本47","不是说初中不可以住校吗","2026-06-26 08:21:32","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本48","招生范围是哪些？","2026-06-26 00:00:53","云南","0","1","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本49","啊，真的可以住校？","2026-06-25 23:37:04","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
"评论样本50","初中也有住校吗","2026-06-25 23:36:19","云南","0","0","云师大附中盘龙中学自主招生已开启，欢迎全市优秀学子[玫瑰]#昆明学区房 #精装现房 #主城区现房","2026-06-23 17:00:43","275","154","是","",""
